The following timings are the average of 30 tests:
Integers 	 Seconds
1 	  0.000074467
1 	  0.000045367
1 	  0.000040400
2 	  0.000041100
4 	  0.000041433
7 	  0.000042667
10 	  0.000041700
14 	  0.000036300
18 	  0.000031667
23 	  0.000032900
28 	  0.000032767
34 	  0.000033667
40 	  0.000034400
47 	  0.000035700
54 	  0.000036667
61 	  0.000038000
69 	  0.000038800
78 	  0.000039567
87 	  0.000042033
96 	  0.000042200
105 	  0.000044233
115 	  0.000045767
126 	  0.000046933
136 	  0.000048767
147 	  0.000050267
159 	  0.000052433
170 	  0.000054267
182 	  0.000055600
194 	  0.000057867
207 	  0.000059633
219 	  0.000061400
232 	  0.000063267
245 	  0.000065867
259 	  0.000074333
272 	  0.000088900
286 	  0.000077667
300 	  0.000079567
314 	  0.000081967
328 	  0.000083900
343 	  0.000086400
357 	  0.000094900
372 	  0.000096000
387 	  0.000097400
402 	  0.000097967
417 	  0.000098200
432 	  0.000098033
447 	  0.000097867
462 	  0.000097533
477 	  0.000098400
492 	  0.000097833
507 	  0.000097633
522 	  0.000097433
537 	  0.000097533
552 	  0.000098633
567 	  0.000099867
582 	  0.000101200
597 	  0.000102333
612 	  0.000103667
627 	  0.000104467
642 	  0.000105300
656 	  0.000106067
671 	  0.000107033
685 	  0.000107933
699 	  0.000108600
713 	  0.000109633
727 	  0.000112400
740 	  0.000113667
754 	  0.000115133
767 	  0.000116333
780 	  0.000115867
792 	  0.000116700
805 	  0.000115900
817 	  0.000116400
829 	  0.000117400
840 	  0.000116900
852 	  0.000118433
863 	  0.000117967
873 	  0.000117000
884 	  0.000118067
894 	  0.000119533
903 	  0.000120600
912 	  0.000121067
921 	  0.000121900
930 	  0.000121367
938 	  0.000121367
945 	  0.000121233
952 	  0.000122600
959 	  0.000122900
965 	  0.000122800
971 	  0.000123433
976 	  0.000123033
981 	  0.000123433
985 	  0.000123800
989 	  0.000123800
992 	  0.000124400
995 	  0.000124633
997 	  0.000124300
998 	  0.000124400
999 	  0.000124833
1000 	  0.000125167
