Parallel	2	10	3.11429e-05
Parallel	3	10	3.24286e-05
Parallel	4	10	4.52857e-05
Parallel	5	10	5.68571e-05
Parallel	8	10	0.00558743
Parallel	9	10	0.00379771
Parallel	16	10	0.00436529
Parallel	17	10	0.00618971
Parallel	32	10	0.0149887
Parallel	33	10	0.011476
Parallel	24	10	0.0111226
Parallel	25	10	0.00707686
Parallel	2	100	4.97143e-05
Parallel	3	100	3.71429e-05
Parallel	4	100	4.7e-05
Parallel	5	100	6.05e-05
Parallel	8	100	0.00269033
Parallel	9	100	0.00263433
Parallel	16	100	0.0081665
Parallel	17	100	0.008306
Parallel	32	100	0.0255516
Parallel	24	100	0.0098115
Parallel	25	100	0.0124312
Parallel	2	1000	0.000294333
Parallel	3	1000	0.0002565
Parallel	4	1000	0.000137667
Parallel	5	1000	0.000132667
Parallel	8	1000	0.00493617
Parallel	9	1000	0.00249467
Parallel	16	1000	0.00636617
Parallel	17	1000	0.00443683
Parallel	32	1000	0.015077
Parallel	33	1000	0.0108768
Parallel	24	1000	0.0136157
Parallel	25	1000	0.00811067
Parallel	2	10000	0.00247583
Parallel	3	10000	0.00158017
Parallel	4	10000	0.00106667
Parallel	5	10000	0.00109933
Parallel	8	10000	0.00157433
Parallel	9	10000	0.002952
Parallel	16	10000	0.00429733
Parallel	17	10000	0.0067188
Parallel	32	10000	0.0158005
Parallel	33	10000	0.0157308
Parallel	24	10000	0.00923833
Parallel	25	10000	0.0131748
Parallel	2	100000	0.0153635
Parallel	3	100000	0.0120337
Parallel	4	100000	0.00881533
Parallel	5	100000	0.00721983
Parallel	8	100000	0.00485667
Parallel	9	100000	0.00586333
Parallel	16	100000	0.006393
Parallel	17	100000	0.00705183
Parallel	32	100000	0.0244642
Parallel	24	100000	0.010541
Parallel	25	100000	0.00858533
Parallel	2	1000000	0.195763
Parallel	3	1000000	0.147396
Parallel	4	1000000	0.107179
Parallel	5	1000000	0.0999752
Parallel	8	1000000	0.0575872
Parallel	9	1000000	0.0426078
Parallel	16	1000000	0.024805
Parallel	17	1000000	1.05015
Parallel	32	1000000	1.48773
Parallel	24	1000000	0.90056
Parallel	25	1000000	1.60881
Parallel	2	10000000	3.95827
Parallel	3	10000000	2.75419
Parallel	4	10000000	2.12378
Parallel	5	10000000	1.65481
Parallel	8	10000000	1.05363
Parallel	9	10000000	0.757756
Parallel	16	10000000	0.506994
Parallel	17	10000000	0.523782
Parallel	32	10000000	2.90242
Parallel	24	10000000	1.13767
Parallel	25	10000000	2.63322
Parallel	2	100000000	56.3964
Parallel	3	100000000	43.1032
Parallel	4	100000000	36.1463
Parallel	5	100000000	25.8125
Parallel	8	100000000	20.232
Parallel	9	100000000	15.7898
Parallel	16	100000000	9.72685
Parallel	17	100000000	8.72081
Parallel	32	100000000	4.34399
Parallel	33	100000000	4.58412
Parallel	24	100000000	6.21615
Parallel	25	100000000	6.23851
Parallel	33	100000	0.0161787
Parallel	33	1000000	1.60712
Parallel	33	10000000	3.19697
Parallel	33	100	0.012494
Parallel	2	500000000	367.942
Parallel	3	500000000	268.971
Parallel	4	500000000	210.947
Parallel	5	500000000	173.909
Parallel	8	500000000	147.288
Parallel	9	500000000	104.56
Parallel	16	500000000	77.1602
Parallel	17	500000000	63.2606
Parallel	32	500000000	38.2476
Parallel	33	500000000	37.3944
Parallel	24	500000000	56.0389
Parallel	25	500000000	47.5391
Parallel	2	1000000000	1209.15
Parallel	3	1000000000	757.481
Parallel	4	1000000000	746.164
Parallel	5	1000000000	608.315
Parallel	8	1000000000	516.234
Parallel	9	1000000000	229.4
Parallel	16	1000000000	127.029
Parallel	17	1000000000	138.256
Parallel	32	1000000000	83.6404
Parallel	33	1000000000	93.864
Parallel	24	1000000000	104.87
Parallel	25	1000000000	108.119
Sequential	100	10	1.4e-05
Sequential	100	100	4.96e-05
Sequential	100	1000	0.0002308
Sequential	100	10000	0.001913
Sequential	100	100000	0.0124338
Sequential	100	1000000	0.126415
Sequential	100	10000000	1.51225
Sequential	100	100000000	17.9251
Sequential	100	500000000	127.31
Sequential	100	1000000000	299.778
